"year","reef_code","transect_code","quadrat_distance","fronds_20m2","site_id"
2009,"BK","BK 101-0",5,140,"BK_1"
2009,"BK","BK 101-0",15,79,"BK_1"
2009,"BK","BK 101-0",25,0,"BK_1"
2009,"BK","BK 101-0",35,0,"BK_1"
2009,"BK","BK 101-0",45,38,"BK_1"
2009,"BK","BK 101-25",5,5,"BK_1"
2009,"BK","BK 101-25",15,50,"BK_1"
2009,"BK","BK 101-25",25,103,"BK_1"
2009,"BK","BK 101-25",35,37,"BK_1"
2009,"BK","BK 101-25",45,83,"BK_1"
2009,"BK","BK 102-0",5,0,"BK_2"
2009,"BK","BK 102-0",15,0,"BK_2"
2009,"BK","BK 102-0",25,68,"BK_2"
2009,"BK","BK 102-0",35,0,"BK_2"
2009,"BK","BK 102-0",45,0,"BK_2"
2009,"BK","BK 102-25",5,0,"BK_2"
2009,"BK","BK 102-25",15,0,"BK_2"
2009,"BK","BK 102-25",25,90,"BK_2"
2009,"BK","BK 102-25",35,144,"BK_2"
2009,"BK","BK 102-25",45,39,"BK_2"
2009,"BK","BK 103-0",5,151,"BK_3"
2009,"BK","BK 103-0",15,135,"BK_3"
2009,"BK","BK 103-0",25,118,"BK_3"
2009,"BK","BK 103-0",35,166,"BK_3"
2009,"BK","BK 103-0",45,89,"BK_3"
2009,"BK","BK 103-25",5,61,"BK_3"
2009,"BK","BK 103-25",15,54,"BK_3"
2009,"BK","BK 103-25",25,89,"BK_3"
2009,"BK","BK 103-25",35,52,"BK_3"
2009,"BK","BK 103-25",45,128,"BK_3"
2009,"BK","BK 104-0",5,161,"BK_4"
2009,"BK","BK 104-0",15,134,"BK_4"
2009,"BK","BK 104-0",25,172,"BK_4"
2009,"BK","BK 104-0",35,77,"BK_4"
2009,"BK","BK 104-0",45,123,"BK_4"
2009,"BK","BK 104-25",5,64,"BK_4"
2009,"BK","BK 104-25",15,191,"BK_4"
2009,"BK","BK 104-25",25,128,"BK_4"
2009,"BK","BK 104-25",35,74,"BK_4"
2009,"BK","BK 104-25",45,191,"BK_4"
2009,"BK","BK 105-0",5,122,"BK_5"
2009,"BK","BK 105-0",15,120,"BK_5"
2009,"BK","BK 105-0",25,123,"BK_5"
2009,"BK","BK 105-0",35,71,"BK_5"
2009,"BK","BK 105-0",45,131,"BK_5"
2009,"BK","BK 105-25",5,182,"BK_5"
2009,"BK","BK 105-25",15,76,"BK_5"
2009,"BK","BK 105-25",25,122,"BK_5"
2009,"BK","BK 105-25",35,0,"BK_5"
2009,"BK","BK 105-25",45,0,"BK_5"
2009,"BK","BK 106-0",5,82,"BK_6"
2009,"BK","BK 106-0",15,123,"BK_6"
2009,"BK","BK 106-0",25,115,"BK_6"
2009,"BK","BK 106-0",35,233,"BK_6"
2009,"BK","BK 106-0",45,122,"BK_6"
2009,"BK","BK 106-25",5,187,"BK_6"
2009,"BK","BK 106-25",15,48,"BK_6"
2009,"BK","BK 106-25",25,202,"BK_6"
2009,"BK","BK 106-25",35,48,"BK_6"
2009,"BK","BK 106-25",45,42,"BK_6"
2009,"BK","BK 107-0",5,31,"BK_7"
2009,"BK","BK 107-0",15,0,"BK_7"
2009,"BK","BK 107-0",25,183,"BK_7"
2009,"BK","BK 107-0",35,0,"BK_7"
2009,"BK","BK 107-0",45,0,"BK_7"
2009,"BK","BK 107-25",5,38,"BK_7"
2009,"BK","BK 107-25",15,24,"BK_7"
2009,"BK","BK 107-25",25,0,"BK_7"
2009,"BK","BK 107-25",35,28,"BK_7"
2009,"BK","BK 107-25",45,38,"BK_7"
2009,"BK","BK 108-0",5,0,"BK_8"
2009,"BK","BK 108-0",15,0,"BK_8"
2009,"BK","BK 108-0",25,51,"BK_8"
2009,"BK","BK 108-0",35,141,"BK_8"
2009,"BK","BK 108-0",45,196,"BK_8"
2009,"BK","BK 108-25",5,42,"BK_8"
2009,"BK","BK 108-25",15,61,"BK_8"
2009,"BK","BK 108-25",25,125,"BK_8"
2009,"BK","BK 108-25",35,0,"BK_8"
2009,"BK","BK 108-25",45,80,"BK_8"
2009,"BK","BK 109-0",5,97,"BK_9"
2009,"BK","BK 109-0",15,30,"BK_9"
2009,"BK","BK 109-0",25,163,"BK_9"
2009,"BK","BK 109-0",35,76,"BK_9"
2009,"BK","BK 109-0",45,12,"BK_9"
2009,"BK","BK 109-25",5,74,"BK_9"
2009,"BK","BK 109-25",15,76,"BK_9"
2009,"BK","BK 109-25",25,117,"BK_9"
2009,"BK","BK 109-25",35,172,"BK_9"
2009,"BK","BK 109-25",45,130,"BK_9"
2009,"BK","BK 110-0",5,46,"BK_10"
2009,"BK","BK 110-0",15,115,"BK_10"
2009,"BK","BK 110-0",25,98,"BK_10"
2009,"BK","BK 110-0",35,104,"BK_10"
2009,"BK","BK 110-0",45,0,"BK_10"
2009,"BK","BK 110-25",5,0,"BK_10"
2009,"BK","BK 110-25",15,13,"BK_10"
2009,"BK","BK 110-25",25,0,"BK_10"
2009,"BK","BK 110-25",35,236,"BK_10"
2009,"BK","BK 110-25",45,157,"BK_10"
2009,"BK","BK 111-0",5,91,"BK_11"
2009,"BK","BK 111-0",15,66,"BK_11"
2009,"BK","BK 111-0",25,212,"BK_11"
2009,"BK","BK 111-0",35,105,"BK_11"
2009,"BK","BK 111-0",45,283,"BK_11"
2009,"BK","BK 111-25",5,134,"BK_11"
2009,"BK","BK 111-25",15,38,"BK_11"
2009,"BK","BK 111-25",25,50,"BK_11"
2009,"BK","BK 111-25",35,169,"BK_11"
2009,"BK","BK 111-25",45,42,"BK_11"
2009,"BK","BK 112-0",5,40,"BK_12"
2009,"BK","BK 112-0",15,34,"BK_12"
2009,"BK","BK 112-0",25,129,"BK_12"
2009,"BK","BK 112-0",35,177,"BK_12"
2009,"BK","BK 112-0",45,50,"BK_12"
2009,"BK","BK 112-25",5,92,"BK_12"
2009,"BK","BK 112-25",15,125,"BK_12"
2009,"BK","BK 112-25",25,32,"BK_12"
2009,"BK","BK 112-25",35,74,"BK_12"
2009,"BK","BK 112-25",45,110,"BK_12"
2009,"BK","BK 113-0",5,117,"BK_13"
2009,"BK","BK 113-0",15,39,"BK_13"
2009,"BK","BK 113-0",25,63,"BK_13"
2009,"BK","BK 113-0",35,21,"BK_13"
2009,"BK","BK 113-0",45,24,"BK_13"
2009,"BK","BK 113-25",5,82,"BK_13"
2009,"BK","BK 113-25",15,0,"BK_13"
2009,"BK","BK 113-25",25,53,"BK_13"
2009,"BK","BK 113-25",35,0,"BK_13"
2009,"BK","BK 113-25",45,0,"BK_13"
2009,"BK","BK 114-0",5,149,"BK_14"
2009,"BK","BK 114-0",15,174,"BK_14"
2009,"BK","BK 114-0",25,56,"BK_14"
2009,"BK","BK 114-0",35,43,"BK_14"
2009,"BK","BK 114-0",45,62,"BK_14"
2009,"BK","BK 114-25",5,48,"BK_14"
2009,"BK","BK 114-25",15,151,"BK_14"
